57.009393, 25.929125
56.909315, 26.237228
57.074154, 25.946953
57.115050, 26.132143
57.354101, 26.086823
57.602414, 26.314806
58.033283, 26.444609
58.473442, 26.832451
59.228887, 26.820445
59.826114, 27.231545
60.674427, 27.313393
61.370143, 27.792557
62.297398, 28.011932
63.076333, 28.556493
64.149892, 28.843407
64.999811, 29.571766
66.125145, 30.097493
66.987620, 31.073413
68.082927, 31.911194
69.054635, 33.005596
70.130541, 34.134137
71.053738, 35.554304
72.014259, 37.084798
72.990560, 38.625822
73.981533, 40.173331
74.845579, 41.760453
75.538078, 43.373838
76.065734, 44.999586
76.510839, 46.585455
76.870929, 48.170426
76.907838, 49.765524
77.021496, 51.362073
76.879395, 52.946834
76.702149, 54.500854
76.345898, 56.005024
76.025907, 57.489820
75.704721, 58.962775
75.277264, 60.383171
74.790207, 61.773514
74.212619, 63.129857
73.621912, 64.499188
73.069580, 65.909745
72.345655, 67.196459
71.756121, 68.575549
70.954740, 69.782172
70.262627, 71.058569
69.473692, 72.236694
68.820778, 73.506095
68.014265, 74.611555
67.335538, 75.790126
66.597604, 76.875537
65.886448, 77.947769
64.889295, 78.727832
63.997612, 79.644374
62.897536, 80.395907
61.865592, 81.308143
60.773036, 82.202620
59.659604, 83.131457
58.600441, 83.777671
57.601405, 84.108914
56.591827, 84.311624
55.562201, 84.527610
54.541135, 84.727777
53.550024, 84.913751
52.584614, 84.936097
51.660484, 84.990311
50.759182, 84.906507
49.853316, 84.991719
48.913909, 84.850429
47.915292, 84.989781
46.896915, 84.910902
45.850478, 84.991586
44.816195, 84.925122
43.814691, 84.998093
42.875761, 84.948752
42.000125, 84.919058
41.170354, 84.897622
40.327084, 84.914071
39.424800, 84.924486
38.486088, 84.883453
37.562055, 84.786393
36.665285, 84.652439
35.787300, 84.511347
34.936930, 84.282289
34.101064, 84.008394
33.292180, 83.436402
32.489509, 82.738453
31.752988, 81.959098
31.010711, 81.323040
30.371928, 80.670272
29.769004, 80.031013
29.075342, 79.475905
28.406650, 78.841324
27.894203, 77.997673
27.228090, 77.246913
26.649408, 76.360200
25.927649, 75.563569
25.319905, 74.627481
24.650342, 73.695562
24.033843, 72.692094
23.475628, 71.630541
23.012996, 70.498238
22.450070, 69.448194
21.985908, 68.328034
21.444146, 67.277734
21.020720, 66.150988
20.453826, 65.116388
19.983566, 64.008707
19.413032, 62.947567
19.010618, 61.763424
18.549015, 60.593438
18.227463, 59.346629
17.939186, 58.080039
17.803348, 56.750393
17.608687, 55.397809
17.510853, 53.952441
17.515318, 52.436741
17.659894, 50.853317
17.902449, 49.246057
18.207005, 47.609202
18.535861, 45.921186
18.882496, 44.138860
19.231852, 42.278309
19.581373, 40.412799
19.996091, 38.626296
20.535260, 37.001982
21.167168, 35.542251
21.992935, 34.352031
22.804699, 33.259412
23.666760, 32.317919
24.446211, 31.417151
25.301586, 30.737012
25.991206, 29.999895
26.855515, 29.549153
27.475462, 28.915766
28.132884, 28.422562
28.706528, 27.912845
29.445005, 27.690753
29.915340, 27.237801
30.608188, 27.183579
31.076972, 26.810617
31.691167, 26.591446
32.199853, 26.127571
33.000293, 26.019320
33.583291, 25.590105
34.198798, 25.397634
34.602186, 25.051054
35.133704, 25.324561
35.344223, 24.942612
35.780436, 25.337325
35.843380, 24.782647
36.183298, 25.112449
36.263798, 24.616115
36.640195, 25.042264
36.814452, 24.657581
37.200670, 25.033622
37.473631, 24.664300
37.854432, 25.010120
38.224746, 24.669440
38.576634, 25.025914
39.003317, 24.657230
39.315115, 25.048386
39.772162, 24.661569
40.004545, 25.190297
40.443561, 24.821463
40.653264, 25.393571
41.108148, 24.969926
41.389031, 25.455325
41.915715, 24.993414
42.362532, 25.378292
42.991178, 24.974253
43.604365, 25.287523
44.297117, 24.960971
44.939920, 25.193847
45.574200, 24.968204
46.140629, 25.064774
46.660169, 25.020506
47.114595, 25.058156
47.520142, 25.024684
47.861150, 25.095290
48.148380, 25.185933
48.385527, 25.343614
48.587760, 25.476039
48.748514, 25.640600
48.885979, 25.756450
48.992756, 25.886934
49.109370, 25.931474
49.232709, 25.988545
49.430022, 25.934704
49.638411, 25.967677
49.979775, 25.895064
50.331468, 25.995357
51.041070, 25.902800
51.769033, 26.135568
52.932904, 26.023360
53.929215, 26.127131
54.835221, 25.956580
55.399753, 26.253615
55.902723, 25.909225
56.050553, 26.389508
56.360744, 25.997055
56.382671, 26.447790
56.646775, 25.992982
56.616439, 26.430689
56.828256, 26.009790
56.822703, 26.234550
56.955962, 25.952503
56.873608, 26.314833
56.989014, 25.995707
56.892371, 26.322773
56.995425, 25.991337
56.937007, 26.167702
56.990909, 25.998078
56.892816, 26.303400
56.994723, 25.982118
56.904049, 26.242530
56.983021, 25.997767
56.839413, 26.378316
57.003071, 25.921572
56.850644, 26.347665
57.005438, 25.946389
56.850577, 26.377545
56.999881, 25.971605
56.860932, 26.342325
57.006753, 25.940902
56.890264, 26.267043
57.012282, 25.936513
56.927272, 26.194248
56.979476, 26.031693
56.921577, 26.202268
56.996467, 25.967745
56.905778, 26.239160
56.973977, 26.034237
56.873791, 26.325947
56.976792, 26.012981
56.824133, 26.474149
56.971832, 26.028563
56.878233, 26.305593
56.969088, 26.030670
56.894081, 26.251800
56.977481, 26.003482
56.870995, 26.353312
56.989939, 25.996792
56.873319, 26.380220
56.999080, 25.990836
56.881091, 26.317379
57.005740, 25.951047
56.909765, 26.203535
56.981526, 25.993071
56.853633, 26.328378
