x,y
148.828612,94.977594
148.908519,94.863886
148.761274,94.920627
148.911969,94.736574
148.611339,94.988718
148.962704,94.898552
148.315575,96.005352
149.205975,96.677733
149.085090,98.583388
149.923442,100.109975
149.319937,102.039378
150.033982,103.785460
149.393773,105.692635
149.841514,107.566284
148.810902,108.825276
149.348919,110.017245
148.181511,110.037126
149.190236,110.540730
147.871255,110.010708
148.987658,110.076962
147.663205,109.941585
149.018889,110.359072
147.591575,110.968404
149.034301,111.996793
148.004934,113.010118
148.985722,114.493337
148.338146,115.842066
149.069343,117.067917
148.332523,118.315788
149.191221,119.297260
148.164718,120.046555
149.210113,120.659679
148.018797,121.100480
149.102882,122.017293
147.931789,122.672336
148.915392,124.324322
147.564116,125.187941
148.067613,127.188932
146.565005,127.948854
146.835414,130.050152
145.279141,130.662376
145.352812,132.520088
144.324773,133.060597
144.346495,134.432468
143.701487,135.009961
143.208731,135.750195
142.936860,136.668993
141.671673,136.529894
142.063348,137.595712
141.028565,137.120449
141.939161,138.055354
140.439502,137.351276
140.922330,138.543819
139.316376,138.458660
139.806657,140.526315
137.684457,140.779285
137.959769,142.826625
135.937820,143.202113
136.351285,145.578649
134.551810,146.122347
134.518960,147.932674
132.618116,147.540029
133.074956,148.595236
132.106477,148.040931
133.173194,148.781634
132.029503,148.048373
133.362389,148.883757
132.144805,148.058864
133.360217,148.942525
131.874347,148.082475
132.804421,149.204166
130.807117,148.576135
131.266606,150.565868
129.103938,150.422941
129.149808,152.692897
127.152135,152.990207
126.889776,155.137191
124.826175,155.284816
124.013995,156.807612
121.850755,156.438750
121.385679,158.014092
119.441267,157.589646
118.989279,159.701187
116.744795,159.383963
115.816426,161.335830
113.473541,160.672327
112.077671,161.973396
110.620980,161.029811
109.301683,161.991913
109.207142,160.825640
108.391662,161.946716
109.060655,161.144621
108.660126,162.199950
109.090462,161.022268
108.736177,162.246759
109.031029,160.886077
108.433976,162.092443
109.004899,160.779615
108.335499,162.148962
109.049191,160.772943
108.339021,162.145586
109.003777,160.707685
108.373057,162.142451
109.020258,160.749088
108.475716,162.141400
108.959833,160.710524
108.402336,162.041931
108.325981,160.810698
107.607949,162.419857
106.497510,161.445957
105.085758,162.979379
103.872659,161.209331
102.852974,163.162379
102.197052,161.088401
101.013136,163.135301
100.800637,161.093121
99.550747,162.251534
99.574523,160.748866
97.868191,161.549287
97.801387,159.998739
96.023363,160.815193
96.083072,159.600315
94.490728,159.952291
93.510872,159.729293
91.300143,160.224892
90.687131,161.143783
89.242523,161.423120
88.641439,162.791319
86.934149,162.711326
86.203376,163.956365
84.825401,162.881815
83.639243,163.995242
82.856652,162.386254
81.803015,164.035578
81.359549,162.105999
80.431719,164.052355
80.142828,161.989288
79.221372,163.759922
78.990782,161.587574
77.931814,163.160336
77.478057,161.362111
76.055330,163.050510
75.572183,161.532664
74.268760,163.017506
74.312484,161.709836
73.330052,162.944022
